row_key,agbd_mu,clim_pr,clim_tmmx,clim_aet
67,,102.41666666666667,19.20625,771.4583333333334
68,,102.41666666666667,19.20625,771.4583333333334
69,,102.35416666666667,19.15,770.6666666666666
70,,102.41666666666667,19.20625,771.4583333333334
71,,102.41666666666667,19.20625,771.4583333333334
72,,102.35416666666667,19.15,770.6666666666666
73,,102.35416666666667,19.15,770.6666666666666
74,303.40118408203125,103.64583333333333,18.75625,769.8541666666666
75,171.5667724609375,102.8125,19.214583333333334,772.7708333333334
76,224.00962829589844,102.8125,19.214583333333334,772.7708333333334
77,231.9033203125,102.8125,19.214583333333334,772.7708333333334
78,228.4449920654297,102.8125,19.214583333333334,772.7708333333334
79,197.63453674316406,102.8125,19.214583333333334,772.7708333333334
80,202.50706481933594,102.8125,19.214583333333334,772.7708333333334
81,235.141845703125,102.8125,19.214583333333334,772.7708333333334
82,220.50076293945312,102.8125,19.214583333333334,772.7708333333334
83,,105.45833333333333,18.6375,768.8958333333334
84,114.24799346923828,105.45833333333333,18.6375,768.8958333333334
85,,98.33333333333333,18.345833333333335,748.9375
86,249.48422241210938,102.75,18.866666666666667,768.7291666666666
87,249.48422241210938,102.75,18.866666666666667,768.7291666666666
88,,102.35416666666667,19.15,770.6666666666666
89,249.48422241210938,101.8125,19.220833333333335,771.7708333333334
90,249.48422241210938,102.75,18.866666666666667,768.7291666666666
91,249.48422241210938,102.75,18.866666666666667,768.7291666666666
92,,102.35416666666667,19.15,770.6666666666666
93,,102.35416666666667,19.15,770.6666666666666
94,,101.8125,19.220833333333335,771.7708333333334
95,,101.8125,19.220833333333335,771.7708333333334
96,,101.8125,19.220833333333335,771.7708333333334
97,,101.8125,19.220833333333335,771.7708333333334
98,,102.75,18.866666666666667,768.7291666666666
99,,102.75,18.866666666666667,768.7291666666666
100,,102.35416666666667,19.15,770.6666666666666
101,,102.35416666666667,19.15,770.6666666666666
102,,101.8125,19.220833333333335,771.7708333333334
103,,101.8125,19.220833333333335,771.7708333333334
104,,101.8125,19.220833333333335,771.7708333333334
105,,101.8125,19.220833333333335,771.7708333333334
