plot_id,rh98,cover,pai,fhd_normal,gedi_n_samples,gedi_temporal_coverage_months
211.0,27.73073230905763,0.8458010883743489,4.074696175867389,3.091186498054172,1,1
212.0,25.830323868759898,0.717449761798822,3.1681324585844286,3.078268432888761,2,2
213.0,22.712113083247207,0.6338608706901835,2.570439354905404,2.8848620206977085,2,2
214.0,27.229495946857725,0.6834923270293626,2.841995608054025,3.1216686605499246,2,2
215.0,25.238880678409352,0.6397221674473078,2.7594646634289,3.0518351542238134,1,1
216.0,22.8550425325698,0.718009351870442,3.1423106582140035,2.94811998730119,1,1
217.0,25.358099106420827,0.6907367491790606,2.879772279582804,2.9900478303015503,1,1
218.0,25.37161675273371,0.6625950660584234,3.0607398442557305,3.0225623469991656,2,2
219.0,25.03092786927261,0.5660480128676963,2.233203800393105,3.0499240082581456,2,2
220.0,24.714988443355164,0.7026623623961816,3.13236759039957,2.9770708879738814,2,2
221.0,21.984161509487347,0.592082519350081,2.600056819454382,2.8974824106063086,2,2
222.0,24.28175714770385,0.6698174623185279,2.8639272835597884,2.8943867292320227,1,1
223.0,24.800635544255684,0.7208845151971093,3.1814185610126486,2.8248936184388485,1,1
224.0,22.838720373986376,0.5487838152570579,2.1463458732482823,2.8830997782641656,1,1
225.0,28.42124223417633,0.6103144872240311,2.4871063278428016,3.0242904748416986,2,2
226.0,19.930780355220502,0.5304718668590375,2.1035742869207588,2.800499336729006,1,1
227.0,19.55597289333648,0.5728676573069856,2.4196176700861085,2.703240067202036,1,1
228.0,19.585150933460145,0.5285597583432099,2.1510202754752363,2.731147014988724,2,2
229.0,24.393744815022952,0.6416488471584703,2.6491805924190386,2.9180762552332737,2,2
230.0,26.508832391633817,0.7823790648488422,3.3678248943021543,3.0793999898470856,1,1
231.0,26.815662864746265,0.7942102967546806,3.7450065195386815,3.0652095188491133,2,2
232.0,25.12506655487669,0.5809032515392655,2.327429777252535,2.9936810111865246,1,1
233.0,22.22696829453561,0.6318790764437987,2.4789216598663844,2.833799938581485,2,2
234.0,27.28780620192584,0.7051058075652633,3.206338096437984,2.869063657964168,1,1
235.0,37.30464836304463,0.7984590180487442,3.779718008645877,3.118216792428393,1,1
236.0,20.732350610241166,0.593068861797193,2.4488123376951845,2.8069800261542066,1,1
237.0,19.860907203911573,0.5798754932047882,2.4538786225101,2.746939089476496,1,1
238.0,18.465670585556367,0.5747029513432523,2.357111263513771,2.805128022265385,2,2
239.0,21.00452643972968,0.6184562311903685,2.5567499541469094,2.8486918675153787,2,2
240.0,20.29118458847289,0.6735441831374547,2.868552913729412,2.8887366517275064,1,1
241.0,17.15586801705146,0.5452113720986678,2.130927609535304,2.671181674770834,2,2
242.0,20.62223014788492,0.6213155204185783,2.576422108004852,2.794558236725872,1,1
243.0,24.545401775646503,0.7207831353770047,3.307972600871889,3.0501061872283337,1,1
244.0,24.77270191814277,0.8109674001642017,3.8656397280456543,3.0283574659600463,1,1
245.0,24.17745886803529,0.7589661014875878,3.321755683722021,3.046256073450637,2,2
246.0,24.774891770827526,0.7187525358757082,3.060270297040826,3.0136776734773814,2,2
247.0,26.234065710365453,0.6620007076441444,2.8918515076926443,3.056934566941732,2,2
248.0,25.15401522211561,0.7185504001349212,3.2254914655619555,3.027547397934763,2,2
249.0,25.83528962895352,0.7648546181359049,3.6879445215936086,3.091519173527124,2,2
250.0,24.46974662323856,0.6852260394593553,3.090111483948376,2.877120650474819,1,1
251.0,28.77501518766724,0.5190871766910093,2.199942537017618,3.068821084170962,2,2
252.0,26.11916663832505,0.5110027239529491,2.1435974001823603,3.0608240408602283,1,1
253.0,27.17859922992324,0.5544796155957572,1.9637294261802063,3.02806486603987,1,1
254.0,25.264390207948264,0.6740482978419381,2.7469800144173573,2.8179312644879086,1,1
255.0,26.11128239488135,0.7579281264474023,3.539955983863301,2.933522342144877,1,1
256.0,23.11150882385378,0.697805091611658,3.0712195535926794,2.955327460076033,1,1
257.0,55.42333294511485,0.8265688933639218,3.890218832983637,3.129637974388701,1,1
258.0,32.232988756562975,0.7803875045990804,3.5773298522052515,2.968698165402708,1,1
259.0,18.870342858029545,0.7082472308790273,3.0144036590316365,2.882552815647386,1,1
260.0,23.362093907127267,0.6812773939489702,2.9157795137621974,3.0024083686019094,1,1
261.0,22.001723235722604,0.6574182788985325,2.8083521792961257,2.9514666023301115,1,1
262.0,19.98102813851011,0.6307284459446231,2.5764130570398027,2.76162523063385,2,2
263.0,17.867095374802187,0.5749059527668047,2.212158003324717,2.7811953042354665,1,1
264.0,19.961339179777443,0.531557644590996,2.177903964675993,2.83048911418744,1,1
265.0,22.489535998159656,0.6766711027124721,2.8108929475322064,2.919163976848809,1,1
266.0,22.32835048198207,0.5996190899264077,2.681830428829773,2.931918537023705,1,1
267.0,26.4044100080494,0.5946646986365186,2.3741471965883423,3.074750364252025,1,1
268.0,20.948453824837983,0.6872182910713432,2.888997336175156,2.8107938393336163,1,1
269.0,15.624341278856296,0.5497824657340531,2.2159984729087,2.488765305372969,1,1
270.0,25.6224645662,0.7760116314698623,3.5281069430389698,3.047939120405201,2,2
271.0,26.84943733432604,0.7967316126163979,3.692876561669685,3.075276873621169,1,1
272.0,26.98802737876537,0.8418075127602676,3.9097479531689294,3.233084396058711,2,2
273.0,23.34675388645363,0.7277717422881987,3.13583251532749,3.115711157130211,2,2
274.0,25.216325392296483,0.5171074506616392,2.242767391602003,3.152844882370143,2,2
275.0,21.78297493526012,0.5416122569030097,2.32733468740409,2.931745716059779,1,1
276.0,27.69156982829131,0.7159720660068323,3.2443860163175327,3.043216129547793,1,1
277.0,24.22256827130158,0.7775060200999776,3.622325250624142,2.913562862574605,2,2
278.0,28.228134923479374,0.7841933226155147,3.6156074317540674,2.987074016635224,2,2
279.0,40.71613424535383,0.8277009438740196,3.707639931648121,3.05711575260618,1,1
280.0,33.69761493245142,0.786535996786771,3.4380362285478685,2.912732014856952,2,2
281.0,25.54493661101207,0.7921862459696736,3.592565335899615,2.98184122844101,2,2
282.0,16.369582863028164,0.5470021873001802,2.140359632310401,2.6151953709427715,2,2
283.0,18.49323544190684,0.6666382090480314,2.800427984979636,2.820403281875367,2,2
284.0,21.17497091000441,0.6757501487446745,2.996815090194892,2.88815038118869,1,1
285.0,18.642883162715453,0.5335466196937515,2.001427698833841,2.767083469324198,1,1
286.0,22.46763926719498,0.5736821795202774,2.110515285370586,2.8821117347425176,2,2
287.0,20.51165485559161,0.5227543879328233,2.071856141901612,2.9254694921948365,1,1
288.0,19.34145415223006,0.4156738786130489,1.4922673484248692,2.8348880384817963,1,1
289.0,24.104656441378985,0.7036528027059843,3.061690916885817,3.054127416419024,1,1
290.0,23.928330425600592,0.7006375764198056,3.139423027803913,2.927290071804531,1,1
291.0,24.46673654887723,0.6782960127629941,2.855522065963597,2.971350504250025,1,1
292.0,25.042093177675625,0.7024852751267615,3.110108569664641,2.8639361158596555,1,1
293.0,28.47803446686145,0.8340032904659356,4.068321917207283,3.112709288117691,1,1
294.0,28.403024733063376,0.776400847990735,3.186649454368358,3.180958233118942,1,1
295.0,22.467483285696805,0.6854023419974594,3.0005028323860805,2.97501918567848,1,1
296.0,20.631850712195043,0.6691891662471057,2.8151364029509582,2.9633886162086056,2,2
297.0,24.921586542832205,0.5864567965721174,2.376266788069773,2.843352886078321,1,1
298.0,25.187008206322933,0.6637146509093904,2.7082024331536294,2.9140237443629826,2,2
299.0,30.454441680055663,0.8165358302759569,3.90628664612266,3.1362142925585053,1,1
300.0,33.524920566315295,0.8361094571423069,3.826917573899366,2.984861193375822,1,1
301.0,24.949614692524896,0.8168428391052482,3.565827589549732,2.9756994967429167,2,2
302.0,21.898670890631923,0.7798822502080801,3.278304395329583,2.922876345962448,1,1
303.0,23.39071440784345,0.741270288291338,3.488220314539278,2.855316704346138,1,1
304.0,11.22292325891988,0.5987169087064339,2.453591220902472,2.684203604398449,1,1
305.0,18.09087872917978,0.6803631210374749,2.8758032501292705,2.843145211611668,1,1
306.0,17.372407855728536,0.5854183217210716,2.36445830939275,2.6627668424499973,2,2
307.0,19.49365245487616,0.5036990868880993,1.935643226064892,2.831207163062091,2,2
308.0,21.16727227838724,0.5487981388379223,2.205636871797313,2.7711255654991387,1,1
309.0,24.573876099846466,0.6636890904437818,2.927011453565155,2.9075931778878474,1,1
310.0,27.9352142424536,0.8722239329496578,4.378050184455727,3.0763719836172405,1,1
311.0,29.95103633785926,0.7868015403696185,3.4455775345204085,3.2204019075784927,1,1
312.0,31.31814774230008,0.8590174396535457,4.33440064181172,3.1651040114691966,1,1
313.0,25.93950239285241,0.7110336841383832,2.89099933676335,2.927633117405251,1,1
314.0,24.419882191313885,0.744148859193745,3.21142298440533,2.989005139094455,1,1
315.0,34.104115012222486,0.7632672322484163,3.577415905128687,3.118854666367556,1,1
316.0,26.26516652071529,0.7442438351561967,3.093389971230605,2.8777763502331286,1,1
317.0,22.20884271364015,0.7706374358018174,3.1992890151511686,2.820821610181347,1,1
318.0,26.47058872335276,0.7169793522035753,3.0437036978231893,3.104988800512778,1,1
319.0,19.82091245336889,0.8242353650402486,3.8741741396823137,2.97743662961357,1,1
320.0,20.231855560156465,0.6864986263434705,2.912282420227738,2.91592024963758,2,2
343.0,21.330422090130625,0.5900617652704803,2.4771528501772213,2.709123932892919,1,1
554.0,15.717898594365538,0.5009977296993549,2.101256601257385,2.577860646114231,2,2
557.0,15.011079995409796,0.5552609965000056,2.264010755297038,2.495790345576387,1,1
559.0,15.442822402869805,0.4998940163322987,1.8836758859710887,2.613896621063509,2,2
560.0,12.831979127679356,0.3699537244109968,1.2897640450001988,2.37541944578356,2,2
407.0,10.694980359559402,0.2240069015308416,0.6485687332460408,2.36458307895153,2,2
397.0,10.126988543268691,0.2495682950621478,0.6168992786208133,2.267589658566823,2,2
404.0,6.936519614491218,0.1445437786937707,0.3821055057712901,1.94520363269746,2,2
405.0,8.228122581509943,0.131274251858435,0.3081789909144353,2.098000506628253,2,2
401.0,9.749032152297588,0.3455191460858205,0.913715743719294,2.24046664763595,2,2
399.0,12.076806517031017,0.3494533980293253,1.03037782658249,2.382754736266385,1,1
403.0,7.002395184245341,0.2300343916223798,0.6495705208144082,1.948212437562851,2,2
400.0,6.729647349097884,0.2109655013674073,0.5034777411780508,1.925755568551773,1,1
398.0,11.553326439869208,0.2789887937156643,0.7890039043150262,2.396499606523988,2,2
409.0,14.733974690893064,0.4882070540696052,2.038706593674021,2.6079174860916527,2,2
406.0,6.9993762754287765,0.1651893505067097,0.4804288994431323,1.971935289984536,2,2
408.0,8.99683546344992,0.21562780848972,0.7811590375794684,2.0803818433255343,3,3
402.0,9.131617881027074,0.2420069001609844,0.6490249150791985,2.134648195643279,2,2
385.0,9.731157391485445,0.2378230754215867,0.7577143238365308,2.0567240356381418,2,2
382.0,9.608994318382228,0.3017657005512577,0.9913231655027818,2.183621601492008,1,1
384.0,8.774304333459725,0.1976972436266801,0.53988736041991,2.2102437201824428,2,2
388.0,10.851600294101216,0.2639846669008094,0.8947910367751383,2.2595119502458503,2,2
383.0,9.040601867132326,0.2867461046959818,0.9389386194110162,2.0833563095245857,1,1
381.0,3.4970926612184896,0.0655301576326148,0.1509060568048215,1.4027164455715408,2,2
