row_key,hh_point,hv_point,hh_gauss,hv_gauss,hh_boxcar,hv_boxcar
3976,-6.922667314300313,-10.02889688674658,-7.206554027837598,-11.06968914175968,-7.426384359369756,-11.810554754139934
3977,-4.557952663847857,-13.36828127264755,-4.43027460357343,-11.169060994397235,-5.148676118655221,-10.52940438129376
3978,-3.1728199472409955,-8.061091807697906,-4.606253381403393,-9.40016815456918,-4.862286595619451,-10.24482984579391
3979,-7.0463413017020144,-12.940538818687372,-5.1833044357365035,-12.748764482584503,-5.49294714109989,-12.155052023557937
3980,-5.696735609878274,-9.290539605544808,-5.266585026925312,-10.860612488670375,-5.498033154104919,-10.9697964952914
3981,-9.373365880616689,-13.839336150069869,-8.149775702285968,-13.466660108260642,-7.67418153883768,-13.540294471806542
3982,-7.656882678356396,-15.8298817701953,-6.887243919312976,-14.254099853961117,-6.559347648290648,-13.432168804389256
3983,-7.608023032251069,-13.139208233646968,-8.841226932957193,-13.336273684085347,-8.845072281722816,-13.720276634041952
3984,-4.6048443899621105,-8.071987110168777,-4.576556890109512,-9.597712033466703,-4.5551116678571635,-9.769083686991038
3985,-4.416732335898715,-9.8818716363957,-4.5666308280409655,-10.486968561904252,-4.862324403985996,-10.651005317527312
3986,-1.0236656590211766,-10.593114004910134,-2.796687634589864,-9.383468184661027,-2.816155438219089,-9.373135383269382
3987,-4.609024820623034,-9.754289685557396,-4.55585704637087,-10.303145472949605,-4.67061681684514,-10.111292545952667
3988,-6.303958919026016,-12.015028862918882,-8.164698045454038,-12.468489188742131,-8.176079898892816,-13.075621137587621
3989,-7.908446879105398,-17.397542073953844,-7.009130335782949,-13.704569717391223,-6.9461479072745735,-12.682210542954824
3990,-9.28158415610929,-12.82671273894114,-10.880495419934382,-13.923265152398217,-10.619305225210804,-13.792486832449276
3991,-3.296861574458859,-12.74097840055019,-5.225472380445473,-11.358233285966932,-5.552739354411887,-10.30508956890451
3992,-3.643426413396895,-9.578395345223015,-4.734061708543887,-10.472681736830323,-4.972738249384832,-10.168078272074125
3993,-5.097076212480161,-15.871833459220369,-6.5673270688825225,-14.989318277894583,-6.597794030934567,-14.494833729793624
3994,-4.600665970332258,-11.140928569042686,-6.354762089001367,-12.713568243965794,-7.063875036750637,-12.474520790201707
3995,-8.292813339965775,-12.439673176215976,-7.698650148558085,-12.699050825471767,-7.3478365183588155,-11.873703725767236
3996,-2.124897460626414,-11.87877681980936,-4.403198759216998,-11.230024681965721,-5.0040084548807835,-10.707542235344025
3997,-1.0617997398388752,-10.75704323347027,-4.582794102239953,-10.980589619742155,-4.558495391999433,-10.60322634940031
3998,-8.153354352857036,-14.740714560066749,-7.330270200180023,-13.782350827873344,-7.083362530056989,-13.823376645958655
